TrialType,Delta,StartTime,EndTime,Success
1,0,1737027142274,1737027143153,1
1,0,1737027143154,1737027144577,1
1,0,1737027144577,1737027145831,1
1,0,1737027145831,1737027147153,1
1,0,1737027147153,1737027148131,1
1,0,1737027148131,1737027149163,1
1,0,1737027149163,1737027150196,1
1,0,1737027150196,1737027150941,1
1,0,1737027150941,1737027151965,1
1,0,1737027151965,1737027153186,1
1,0,1737027153186,1737027154008,1
1,0,1737027154008,1737027154986,1
1,0,1737027154987,1737027156218,1
1,0,1737027156219,1737027157284,1
1,0,1737027157284,1737027158330,1
1,0,1737027158330,1737027159240,1
1,0,1737027159241,1737027160609,1
1,0,1737027160609,1737027161853,1
1,0,1737027161853,1737027163763,1
1,0,1737027163763,1737027164742,1
1,0,1737027164742,1737027166063,1
1,0,1737027166064,1737027167530,1
1,0,1737027167531,1737027168585,1
1,0,1737027168585,1737027169727,1
1,0,1737027169727,1737027171729,1
1,0,1737027171730,1737027172663,1
1,0,1737027172663,1737027173585,1
1,0,1737027173586,1737027174618,1
1,0,1737027174618,1737027175407,1
1,0,1737027175408,1737027176818,1
1,0,1737027176818,1737027177985,1
1,0,1737027177985,1737027179039,1
1,0,1737027179040,1737027179651,1
1,0,1737027179651,1737027180694,1
1,0,1737027180694,1737027181652,1
1,0,1737027181652,1737027182873,1
1,0,1737027182873,1737027183907,1
1,0,1737027183907,1737027184641,0
0,0,1737027334478,1737027336023,1
0,0,1737027336023,1737027337233,1
0,0,1737027337233,1737027338454,1
0,0,1737027338454,1737027339101,1
0,0,1737027339101,1737027339934,1
0,0,1737027339934,1737027341201,1
0,0,1737027341201,1737027342001,1
0,0,1737027342001,1737027342868,1
0,0,1737027342868,1737027343922,1
0,0,1737027343922,1737027344745,1
0,0,1737027344745,1737027345467,1
0,0,1737027345467,1737027346622,1
0,0,1737027346622,1737027347433,1
0,0,1737027347433,1737027349221,1
0,0,1737027349221,1737027350177,1
0,0,1737027350178,1737027351044,1
0,0,1737027351044,1737027352000,1
0,0,1737027352000,1737027352790,1
0,0,1737027352790,1737027353688,1
0,0,1737027353688,1737027354511,1
0,0,1737027354511,1737027355677,1
0,0,1737027355678,1737027356278,1
0,0,1737027356278,1737027357823,1
0,0,1737027357823,1737027359000,1
0,0,1737027359000,1737027359799,1
0,0,1737027359799,1737027360655,1
0,0,1737027360655,1737027361644,1
0,0,1737027361644,1737027363221,1
0,0,1737027363221,1737027364000,1
0,0,1737027364000,1737027365176,1
0,0,1737027365176,1737027366089,1
0,0,1737027366089,1737027366988,1
0,0,1737027366988,1737027367922,1
0,0,1737027367922,1737027368489,1
0,0,1737027368489,1737027369677,1
0,0,1737027369677,1737027370489,1
0,0,1737027370489,1737027371344,1
0,0,1737027371344,1737027372210,1
0,0,1737027372211,1737027373011,1
0,0,1737027373011,1737027373600,1
0,0,1737027373600,1737027374899,1
0,0,1737027374899,1737027375721,1
0,0,1737027375721,1737027376532,1
0,0,1737027376532,1737027377988,1
0,0,1737027377988,1737027378999,1
0,0,1737027378999,1737027380098,1
0,0,1737027380098,1737027380753,1
0,0,1737027380753,1737027381831,1
0,0,1737027381831,1737027382609,1
0,0,1737027382609,1737027383299,1
0,0,1737027383299,1737027384220,1
0,0,1737027384221,1737027385630,1
0,0,1737027385631,1737027386398,1
0,0,1737027386398,1737027387165,1
0,0,1737027387165,1737027387931,1
0,0,1737027387931,1737027388843,1
